Year,Beer,Wine,Spirits,All_beverages_in_Gallons
1934,0.61,0.07,0.29,0.97
1935,0.68,0.09,0.43,1.2
1936,0.79,0.12,0.59,1.5
1937,0.82,0.13,0.64,1.59
1938,0.75,0.13,0.59,1.47
1939,0.75,0.14,0.62,1.51
1940,0.73,0.16,0.67,1.56
1941,0.81,0.18,0.71,1.7
1942,0.9,0.22,0.85,1.97
1943,1,0.17,0.66,1.83
1944,1.13,0.18,0.76,2.07
1945,1.17,0.2,0.88,2.25
1946,1.07,0.24,0.99,2.3
1947,1.11,0.16,0.76,2.03
1948,1.07,0.2,0.7,1.97
1949,1.06,0.22,0.7,1.98
1950,1.04,0.23,0.77,2.04
1951,1.03,0.2,0.78,2.01
1952,1.04,0.21,0.73,1.98
1953,1.04,0.2,0.77,2.01
1954,1.01,0.21,0.74,1.96
1955,1.01,0.22,0.77,2
1956,1,0.22,0.81,2.03
1957,0.97,0.22,0.8,1.99
1958,0.96,0.22,0.8,1.98
1959,1,0.22,0.84,2.06
1960,0.99,0.22,0.86,2.07
1961,0.97,0.23,0.86,2.06
1962,0.99,0.22,0.9,2.11
1963,1.01,0.23,0.91,2.15
1964,1.04,0.24,0.95,2.23
1965,1.04,0.24,0.99,2.27
1966,1.06,0.24,1.02,2.32
1967,1.07,0.25,1.05,2.37
1968,1.09,0.26,1.1,2.45
1969,1.12,0.26,1.13,2.51
1970,1.14,0.27,1.11,2.52
1971,1.15,0.31,1.12,2.58
1972,1.16,0.3,1.08,2.54
1973,1.2,0.31,1.1,2.6
1974,1.24,0.31,1.1,2.65
1975,1.25,0.32,1.1,2.67
1976,1.25,0.32,1.09,2.66
1977,1.27,0.29,1.04,2.6
1978,1.3,0.3,1.05,2.66
1979,1.34,0.31,1.04,2.7
1980,1.37,0.34,1.04,2.75
1981,1.39,0.35,1.02,2.76
1982,1.38,0.36,0.98,2.72
1983,1.37,0.36,0.96,2.69
1984,1.35,0.37,0.94,2.65
1985,1.33,0.38,0.91,2.62
1986,1.35,0.39,0.84,2.58
1987,1.34,0.38,0.83,2.55
1988,1.33,0.36,0.79,2.49
1989,1.32,0.34,0.78,2.43
1990,1.34,0.33,0.77,2.45
1991,1.29,0.3,0.71,2.3
1992,1.29,0.3,0.71,2.3
1993,1.26,0.28,0.68,2.23
1994,1.25,0.28,0.65,2.18
1995,1.23,0.29,0.63,2.15
1996,1.24,0.3,0.63,2.16
1997,1.22,0.3,0.62,2.15
1998,1.22,0.3,0.62,2.15
1999,1.23,0.31,0.63,2.17
2000,1.23,0.31,0.64,2.19
2001,1.23,0.31,0.64,2.18
2002,1.23,0.33,0.64,2.2
2003,1.21,0.34,0.67,2.22
2004,1.21,0.35,0.68,2.24
2005,1.2,0.36,0.7,2.25
2006,1.2,0.37,0.71,2.28
2007,1.21,0.38,0.72,2.31
2008,1.2,0.38,0.73,2.31
2009,1.17,0.39,0.73,2.29
2010,1.14,0.38,0.74,2.26
2011,1.12,0.41,0.76,2.29
2012,1.13,0.42,0.78,2.34
2013,1.12,0.42,0.79,2.33
2014,1.1,0.43,0.8,2.32
2015,1.09,0.42,0.81,2.33
2016,1.08,0.44,0.83,2.35